FeatureCode,Start Date ,End Date,Equity Loans,Loan category
E07000033,01 April 2013,30 September 2019,474,Equity Loans to First Time Buyers
E07000033,01 April 2013,30 September 2019,599,Total Equity Loans
E07000036,01 April 2013,30 September 2019,153,Equity Loans to First Time Buyers
E07000036,01 April 2013,30 September 2019,191,Total Equity Loans
E07000032,01 April 2013,30 September 2019,447,Equity Loans to First Time Buyers
E07000032,01 April 2013,30 September 2019,631,Total Equity Loans
E07000038,01 April 2013,30 September 2019,293,Equity Loans to First Time Buyers
E07000038,01 April 2013,30 September 2019,374,Total Equity Loans
E07000170,01 April 2013,30 September 2019,802,Equity Loans to First Time Buyers
E07000170,01 April 2013,30 September 2019,993,Total Equity Loans
E07000172,01 April 2013,30 September 2019,154,Equity Loans to First Time Buyers
E07000172,01 April 2013,30 September 2019,198,Total Equity Loans
E06000047,01 April 2013,30 September 2019,2599,Equity Loans to First Time Buyers
E06000047,01 April 2013,30 September 2019,2973,Total Equity Loans
E08000037,01 April 2013,30 September 2019,641,Equity Loans to First Time Buyers
E08000037,01 April 2013,30 September 2019,740,Total Equity Loans
E08000024,01 April 2013,30 September 2019,1284,Equity Loans to First Time Buyers
E08000024,01 April 2013,30 September 2019,1536,Total Equity Loans
E06000005,01 April 2013,30 September 2019,500,Equity Loans to First Time Buyers
E06000005,01 April 2013,30 September 2019,579,Total Equity Loans
E07000166,01 April 2013,30 September 2019,205,Equity Loans to First Time Buyers
E07000166,01 April 2013,30 September 2019,227,Total Equity Loans
E07000164,01 April 2013,30 September 2019,361,Equity Loans to First Time Buyers
E07000164,01 April 2013,30 September 2019,465,Total Equity Loans
E06000004,01 April 2013,30 September 2019,1425,Equity Loans to First Time Buyers
E06000004,01 April 2013,30 September 2019,1658,Total Equity Loans
E07000167,01 April 2013,30 September 2019,240,Equity Loans to First Time Buyers
E07000167,01 April 2013,30 September 2019,297,Total Equity Loans
E08000017,01 April 2013,30 September 2019,1520,Equity Loans to First Time Buyers
E08000017,01 April 2013,30 September 2019,1766,Total Equity Loans
E06000013,01 April 2013,30 September 2019,419,Equity Loans to First Time Buyers
E06000013,01 April 2013,30 September 2019,492,Total Equity Loans
E07000171,01 April 2013,30 September 2019,447,Equity Loans to First Time Buyers
E07000171,01 April 2013,30 September 2019,556,Total Equity Loans
E08000018,01 April 2013,30 September 2019,969,Equity Loans to First Time Buyers
E08000018,01 April 2013,30 September 2019,1176,Total Equity Loans
E06000011,01 April 2013,30 September 2019,967,Equity Loans to First Time Buyers
E06000011,01 April 2013,30 September 2019,1273,Total Equity Loans
E07000169,01 April 2013,30 September 2019,705,Equity Loans to First Time Buyers
E07000169,01 April 2013,30 September 2019,883,Total Equity Loans
E07000142,01 April 2013,30 September 2019,388,Equity Loans to First Time Buyers
E07000142,01 April 2013,30 September 2019,456,Total Equity Loans
E06000012,01 April 2013,30 September 2019,476,Equity Loans to First Time Buyers
E06000012,01 April 2013,30 September 2019,601,Total Equity Loans
E07000137,01 April 2013,30 September 2019,327,Equity Loans to First Time Buyers
E07000137,01 April 2013,30 September 2019,373,Total Equity Loans
E08000016,01 April 2013,30 September 2019,1203,Equity Loans to First Time Buyers
E08000016,01 April 2013,30 September 2019,1428,Total Equity Loans
E07000040,01 April 2013,30 September 2019,955,Equity Loans to First Time Buyers
E07000040,01 April 2013,30 September 2019,1210,Total Equity Loans
E07000239,01 April 2013,30 September 2019,174,Equity Loans to First Time Buyers
E07000239,01 April 2013,30 September 2019,231,Total Equity Loans
E07000235,01 April 2013,30 September 2019,182,Equity Loans to First Time Buyers
E07000235,01 April 2013,30 September 2019,282,Total Equity Loans
E08000031,01 April 2013,30 September 2019,1106,Equity Loans to First Time Buyers
E08000031,01 April 2013,30 September 2019,1250,Total Equity Loans
E09000030,01 April 2013,30 September 2019,1427,Equity Loans to First Time Buyers
E09000030,01 April 2013,30 September 2019,1480,Total Equity Loans
E09000001,01 April 2013,30 September 2019,5,Equity Loans to First Time Buyers
E09000001,01 April 2013,30 September 2019,5,Total Equity Loans
E09000026,01 April 2013,30 September 2019,399,Equity Loans to First Time Buyers
E09000026,01 April 2013,30 September 2019,417,Total Equity Loans
E09000033,01 April 2013,30 September 2019,36,Equity Loans to First Time Buyers
E09000033,01 April 2013,30 September 2019,44,Total Equity Loans
E07000095,01 April 2013,30 September 2019,243,Equity Loans to First Time Buyers
E07000095,01 April 2013,30 September 2019,293,Total Equity Loans
E07000041,01 April 2013,30 September 2019,684,Equity Loans to First Time Buyers
E07000041,01 April 2013,30 September 2019,911,Total Equity Loans
E07000042,01 April 2013,30 September 2019,338,Equity Loans to First Time Buyers
E07000042,01 April 2013,30 September 2019,446,Total Equity Loans
E07000043,01 April 2013,30 September 2019,334,Equity Loans to First Time Buyers
E07000043,01 April 2013,30 September 2019,414,Total Equity Loans
E07000047,01 April 2013,30 September 2019,118,Equity Loans to First Time Buyers
E07000047,01 April 2013,30 September 2019,133,Total Equity Loans
E07000046,01 April 2013,30 September 2019,197,Equity Loans to First Time Buyers
E07000046,01 April 2013,30 September 2019,241,Total Equity Loans
E07000045,01 April 2013,30 September 2019,608,Equity Loans to First Time Buyers
E07000045,01 April 2013,30 September 2019,841,Total Equity Loans
E06000052,01 April 2013,30 September 2019,1680,Equity Loans to First Time Buyers
E06000052,01 April 2013,30 September 2019,2020,Total Equity Loans
E07000119,01 April 2013,30 September 2019,459,Equity Loans to First Time Buyers
E07000119,01 April 2013,30 September 2019,609,Total Equity Loans
E06000009,01 April 2013,30 September 2019,229,Equity Loans to First Time Buyers
E06000009,01 April 2013,30 September 2019,268,Total Equity Loans
E07000128,01 April 2013,30 September 2019,455,Equity Loans to First Time Buyers
E07000128,01 April 2013,30 September 2019,543,Total Equity Loans
E07000081,01 April 2013,30 September 2019,902,Equity Loans to First Time Buyers
E07000081,01 April 2013,30 September 2019,1057,Total Equity Loans
E07000082,01 April 2013,30 September 2019,391,Equity Loans to First Time Buyers
E07000082,01 April 2013,30 September 2019,537,Total Equity Loans
E07000079,01 April 2013,30 September 2019,371,Equity Loans to First Time Buyers
E07000079,01 April 2013,30 September 2019,533,Total Equity Loans
E07000080,01 April 2013,30 September 2019,246,Equity Loans to First Time Buyers
E07000080,01 April 2013,30 September 2019,311,Total Equity Loans
E07000083,01 April 2013,30 September 2019,897,Equity Loans to First Time Buyers
E07000083,01 April 2013,30 September 2019,1162,Total Equity Loans
E07000078,01 April 2013,30 September 2019,375,Equity Loans to First Time Buyers
E07000078,01 April 2013,30 September 2019,463,Total Equity Loans
E07000181,01 April 2013,30 September 2019,317,Equity Loans to First Time Buyers
E07000181,01 April 2013,30 September 2019,422,Total Equity Loans
E07000180,01 April 2013,30 September 2019,1155,Equity Loans to First Time Buyers
E07000180,01 April 2013,30 September 2019,1481,Total Equity Loans
E07000216,01 April 2013,30 September 2019,131,Equity Loans to First Time Buyers
E07000216,01 April 2013,30 September 2019,187,Total Equity Loans
E07000085,01 April 2013,30 September 2019,709,Equity Loans to First Time Buyers
E07000085,01 April 2013,30 September 2019,924,Total Equity Loans
E07000089,01 April 2013,30 September 2019,567,Equity Loans to First Time Buyers
E07000089,01 April 2013,30 September 2019,721,Total Equity Loans
E07000092,01 April 2013,30 September 2019,494,Equity Loans to First Time Buyers
E07000092,01 April 2013,30 September 2019,539,Total Equity Loans
